Polling Firm,Fieldwork Date,Sample Size,Others,Don't know,Lead,United Right,Civic Coalition,Third Way,Polish Coalition,Poland 2050,The Left,Confederation,Nonpartisan Local Gov. Activists,There is One Poland,Kukiz'15,AGROunia,Agreement,Independents & Local Gov. Activists,Agreement + Polish Coalition,AGROunia + Agreement,Polish Coalition + Kukiz'15,Law and Justice,Civic Platform,.Nowoczesna,Democratic Left Alliance,Polish People's Party,KORWiN,Razem,Spring,Civic Platform + .Nowoczesna,Civic Platform + .Nowoczesna + Democratic Left Alliance + Polish People's Party,Your Movement,Democratic Left Alliance + Your Movement,Congress of the New Right,Solidarity Poland,Solidarity Poland + Poland Together,Palikot's Movement,Poland Together
Estymator,05.04.2023,1032.0,,0.2,10.3,36.1,25.8,,7.0,7.9,10.3,11.0,,,1.2,,,,,0.5,,,,,,,,,,,,,,,,,,
Social Changes,03.04.2023,1047.0,,2.0,8.0,37.0,29.0,,5.0,7.0,11.0,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,03.04.2023,1052.0,,6.5,5.6,33.9,28.3,,5.0,8.4,7.4,8.1,,,1.4,,,,,1.1,,,,,,,,,,,,,,,,,,
United Surveys,02.04.2023,1000.0,,9.0,8.5,32.5,24.0,,5.9,8.7,10.3,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,27.03.2023,1047.0,,2.0,7.0,37.0,30.0,,5.0,7.0,9.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,25.03.2023,1100.0,,0.9,7.47,35.72,28.25,,4.78,8.52,8.07,11.36,,,,,,1.79,,0.6,,,,,,,,,,,,,,,,,,
Estymator,24.03.2023,1048.0,,0.4,8.5,36.4,27.9,,7.1,8.1,8.3,9.9,,,1.0,,,,,0.9,,,,,,,,,,,,,,,,,,
IPSOS,23.03.2023,1000.0,,7.0,7.0,34.0,27.0,,5.0,6.0,8.0,11.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Kantar Public,22.03.2023,981.0,,15.0,8.0,30.0,22.0,,4.0,8.0,8.0,7.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,
IBSP,20.03.2023,1000.0,,2.13,7.24,37.89,30.65,,3.26,8.44,7.67,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,20.03.2023,1045.0,,2.0,6.0,36.0,30.0,,5.0,8.0,9.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.03.2023,1000.0,,7.6,8.4,33.8,25.4,,6.4,8.1,9.2,9.3,,,,,,,,0.2,,,,,,,,,,,,,,,,,,
IBRiS,18.03.2023,1100.0,,7.7,7.9,34.3,26.4,,6.2,7.9,8.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar,16.03.2023,1000.0,,13.0,5.0,31.0,26.0,,2.0,9.0,6.0,9.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
IPSOS,16.03.2023,1000.0,,5.0,12.0,37.0,25.0,,5.0,9.0,9.0,8.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Pollster,16.03.2023,,,1.81,5.45,33.81,28.36,,4.53,11.27,9.3,9.7,,,1.0,,0.22,,,,,,,,,,,,,,,,,,,,,
CBOS,16.03.2023,993.0,,22.0,20.0,38.0,18.0,,2.0,6.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,14.03.2023,1100.0,,7.3,7.5,34.2,26.7,,6.8,7.1,9.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,13.03.2023,1013.0,,8.9,4.7,32.7,28.0,,5.5,7.6,9.3,5.2,,,0.9,,,,,2.0,,,,,,,,,,,,,,,,,,
Social Changes,13.03.2023,1050.0,,2.0,9.0,38.0,29.0,,5.0,7.0,9.0,7.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar Public,13.03.2023,1000.0,,16.0,5.2,29.4,24.2,,4.1,6.9,9.9,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,09.03.2023,1025.0,,0.3,8.3,36.9,28.6,,7.7,7.1,9.2,8.0,,,1.3,,,,,0.9,,,,,,,,,,,,,,,,,,
Social Changes,06.03.2023,1045.0,,1.0,9.0,38.0,29.0,,7.0,8.0,9.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,06.03.2023,1054.0,,8.6,6.1,32.8,26.7,,5.3,8.1,8.8,7.1,,,1.3,,,,,1.3,,,,,,,,,,,,,,,,,,
United Surveys,05.03.2023,1000.0,,7.0,6.8,34.7,27.9,,6.9,7.1,8.2,7.3,,,,,,,,0.9,,,,,,,,,,,,,,,,,,
PGB Opinium,04.03.2023,1100.0,,0.75,2.99,34.68,31.69,,4.93,9.12,7.92,8.52,,,,,,1.94,,0.45,,,,,,,,,,,,,,,,,,
IBRiS,01.03.2023,1100.0,,7.8,7.3,34.4,27.1,,6.6,7.5,9.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,27.02.2023,1052.0,,3.0,8.0,37.0,29.0,,6.0,7.0,9.0,6.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBSP,27.02.2023,1000.0,,0.38,0.79,34.7,33.91,,3.73,7.33,6.74,11.13,,,,,,2.08,,,,,,,,,,,,,,,,,,,,
Estymator,24.02.2023,1037.0,,0.3,7.6,37.5,29.9,,6.6,8.0,9.1,6.8,,,1.1,,,,,0.7,,,,,,,,,,,,,,,,,,
Social Changes,21.02.2023,1070.0,,2.0,4.0,35.0,31.0,,5.0,9.0,9.0,6.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,20.02.2023,1022.0,,7.3,1.7,32.1,30.4,,4.5,9.7,7.7,6.4,,,1.6,,0.4,,,,,,,,,,,,,,,,,,,,,
Kantar Public,20.02.2023,,,12.0,5.0,33.0,28.0,,2.0,9.0,9.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,19.02.2023,1000.0,,8.7,6.4,33.6,27.2,,7.0,7.5,8.7,6.9,,,,,,,,0.4,,,,,,,,,,,,,,,,,,
CBOS,19.02.2023,982.0,,16.0,14.0,36.0,22.0,,3.0,7.0,5.0,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
IBRiS,18.02.2023,1100.0,,7.1,6.1,34.7,28.6,,6.4,8.2,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,18.02.2023,1100.0,,0.76,3.95,34.8,30.85,,5.02,10.33,7.9,7.29,,,,1.06,,1.98,,,,,,,,,,,,,,,,,,,,
Social Changes,13.02.2023,1063.0,,1.0,9.0,37.0,28.0,,7.0,8.0,9.0,8.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,10.02.2023,1021.0,,0.2,8.8,37.7,28.9,,6.4,8.3,9.5,6.5,,,1.2,,,,,1.3,,,,,,,,,,,,,,,,,,
Kantar,08.02.2023,1000.0,,12.0,1.0,28.0,29.0,,3.0,11.0,5.0,8.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,
Research Partner,06.02.2023,1040.0,,5.1,7.5,35.6,28.1,,5.4,9.8,7.2,7.5,,,0.9,,0.4,,,,,,,,,,,,,,,,,,,,,
Research Partner,06.02.2023,1040.0,,6.9,5.9,33.7,27.8,,4.2,10.7,7.3,6.4,,,1.9,,,,,1.0,,,,,,,,,,,,,,,,,,
Social Changes,06.02.2023,1063.0,,2.0,9.0,38.0,29.0,,6.0,8.0,9.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,05.02.2023,1000.0,,8.0,6.6,34.6,28.0,,5.1,8.1,9.1,5.2,,,,,,,,1.9,,,,,,,,,,,,,,,,,,
IBRiS,04.02.2023,1100.0,,11.0,6.6,33.9,27.3,,5.1,8.3,8.9,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,30.01.2023,1083.0,,3.0,6.0,35.0,29.0,,5.0,9.0,10.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Pollster,29.01.2023,1088.0,,0.57,5.74,34.76,29.02,,5.14,11.31,10.16,6.84,,,1.15,,1.05,,,,,,,,,,,,,,,,,,,,,
Estymator,27.01.2023,1035.0,,0.6,8.2,37.0,28.8,,6.6,9.1,8.9,7.6,,,1.4,,,,,,,,,,,,,,,,,,,,,,,
SW Research,26.01.2023,1071.0,,32.8,4.6,22.0,17.4,,2.6,9.1,7.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,23.01.2023,1000.0,,9.1,6.6,34.0,27.4,,6.1,8.6,8.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,23.01.2023,1053.0,,2.0,5.0,35.0,30.0,,5.0,9.0,10.0,7.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar Public,23.01.2023,983.0,,13.0,,31.0,31.0,,2.0,8.0,8.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
United Surveys,22.01.2023,1000.0,,7.5,7.3,34.4,27.1,,6.2,9.7,8.4,6.5,,,,0.2,,,,,,,,,,,,,,,,,,,,,,
CBOS,22.01.2023,1028.0,,22.0,10.0,32.0,22.0,,3.0,7.0,5.0,7.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,16.01.2023,1061.0,,1.0,7.0,37.0,30.0,,5.0,10.0,9.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,16.01.2023,1033.0,,4.7,6.8,34.6,27.8,,4.8,9.4,8.4,7.2,,,2.5,,0.5,,,,,,,,,,,,,,,,,,,,,
IBRiS,15.01.2023,1100.0,,8.4,6.2,33.4,27.2,,5.9,9.2,8.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,15.01.2023,800.0,,0.0,0.15,34.25,34.4,,4.13,13.2,4.33,8.45,,,,1.24,,,,,,,,,,,,,,,,,,,,,,
Estymator,13.01.2023,1029.0,,0.3,6.7,36.1,29.4,,6.7,8.2,10.1,7.4,,,1.6,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,09.01.2023,1056.0,,2.0,5.0,34.0,29.0,,7.0,10.0,9.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,08.01.2023,1000.0,,8.6,5.3,32.3,27.0,,5.9,9.3,8.0,6.9,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.01.2023,1100.0,,14.5,4.3,29.7,25.4,,5.7,9.2,8.9,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,06.01.2023,1100.0,,15.9,5.8,29.5,23.7,,6.2,7.3,8.8,6.3,,,,,,2.3,,,,,,,,,,,,,,,,,,,,
Social Changes,02.01.2023,1051.0,,2.0,9.0,37.0,28.0,,5.0,11.0,8.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Estymator,30.12.2022,1022.0,,0.3,7.5,36.3,28.8,,6.7,9.4,10.3,6.7,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,27.12.2022,1054.0,,1.0,11.0,39.0,28.0,,5.0,9.0,9.0,7.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IPSOS,21.12.2022,1000.0,,9.0,7.0,34.0,27.0,,4.0,10.0,9.0,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
IBRiS,20.12.2022,1100.0,,17.0,5.9,29.6,23.7,,6.1,9.9,8.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,19.12.2022,1081.0,,2.0,8.0,38.0,30.0,,4.0,9.0,8.0,6.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,18.12.2022,,,0.46,1.21,31.16,29.95,,5.21,12.09,12.08,7.9,,,1.02,,0.13,,,,,,,,,,,,,,,,,,,,,
United Surveys,16.12.2022,1000.0,,10.1,4.4,31.8,27.4,,6.4,10.0,9.4,4.0,,,,0.9,,,,,,,,,,,,,,,,,,,,,,
Estymator,16.12.2022,1039.0,,0.5,5.9,35.3,29.4,,6.7,9.2,11.0,6.1,,,1.8,,,,,,,,,,,,,,,,,,,,,,,
Kantar,15.12.2022,1001.0,,6.0,1.0,32.0,31.0,,3.0,11.0,6.0,9.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Research Partner,12.12.2022,1047.0,,10.4,0.3,29.6,29.3,,4.6,9.8,6.8,7.2,,,1.8,,0.5,,,,,,,,,,,,,,,,,,,,,
Social Changes,12.12.2022,1076.0,,1.0,11.0,38.0,27.0,,4.0,10.0,8.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
CBOS,11.12.2022,1018.0,,25.0,9.8,30.6,20.8,,3.6,10.5,3.6,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,08.12.2022,1100.0,,10.4,6.5,32.9,26.4,,6.2,9.2,9.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,07.12.2022,970.0,,11.0,4.0,28.0,32.0,,2.0,9.0,10.0,5.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.12.2022,1071.0,,1.0,11.0,38.0,27.0,,4.0,10.0,8.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,04.12.2022,1000.0,,7.4,6.7,33.6,26.9,,5.9,10.8,9.7,5.0,,,,0.7,,,,,,,,,,,,,,,,,,,,,,
IBRiS,03.12.2022,1100.0,,8.6,5.9,34.2,28.3,,5.2,8.8,9.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,03.12.2022,1100.0,,11.1,6.4,33.2,26.8,,5.4,8.6,9.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,28.11.2022,1066.0,,1.0,12.0,40.0,28.0,,4.0,8.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,27.11.2022,1057.0,,0.45,2.06,32.51,30.45,,3.87,11.56,10.84,8.65,,,0.92,,0.75,,,,,,,,,,,,,,,,,,,,,
Estymator,25.11.2022,1041.0,,0.3,7.3,35.7,28.4,,7.4,10.4,11.2,5.1,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,21.11.2022,1100.0,,8.0,6.1,34.1,28.0,,5.6,10.2,9.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,21.11.2022,1067.0,,1.0,9.0,38.0,29.0,,4.0,8.0,9.0,9.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,20.11.2022,1000.0,,9.1,6.6,33.2,26.6,,5.0,12.3,8.9,4.2,,,,0.7,,,,,,,,,,,,,,,,,,,,,,
CBOS,17.11.2022,1038.0,,19.0,14.0,34.0,20.0,,3.0,10.0,4.0,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,15.11.2022,1100.0,,8.0,6.2,33.8,27.6,,6.6,9.6,10.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,14.11.2022,1079.0,,9.6,4.6,31.0,26.4,,5.8,10.5,7.5,7.1,,,1.3,,0.8,,,,,,,,,,,,,,,,,,,,,
Social Changes,14.11.2022,1075.0,,1.0,10.0,38.0,28.0,,6.0,8.0,7.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,12.11.2022,1000.0,,7.0,8.0,33.6,25.6,,6.6,14.0,9.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,10.11.2022,1055.0,,0.5,8.2,35.9,27.7,,6.9,11.6,11.2,4.8,,,1.4,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,09.11.2022,1015.0,,7.0,5.0,32.0,27.0,,5.0,12.0,9.0,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,09.11.2022,975.0,,15.0,2.0,30.0,28.0,,4.0,9.0,7.0,4.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,07.11.2022,1074.0,,2.0,6.0,35.0,29.0,,4.0,10.0,8.0,8.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,05.11.2022,1000.0,,8.0,6.4,32.4,26.0,,6.2,13.1,9.6,4.4,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
IBRiS,05.11.2022,1100.0,,7.0,6.1,33.7,27.6,,5.7,10.9,10.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,31.10.2022,1064.0,,8.0,3.6,32.6,29.0,,5.4,10.3,6.6,6.5,,,1.2,,0.4,,,,,,,,,,,,,,,,,,,,,
Social Changes,31.10.2022,1058.0,,2.0,7.0,35.0,28.0,,5.0,9.0,8.0,10.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Estymator,28.10.2022,1055.0,,0.4,8.1,36.4,28.3,,7.1,11.3,9.8,5.2,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
PGB Opinium,26.10.2022,1002.0,,0.9,4.4,34.0,29.6,,4.2,12.5,8.5,6.3,,,0.9,3.0,,,,,,,,,,,,,,,,,,,,,,
Social Changes,24.10.2022,1066.0,,2.0,7.0,36.0,29.0,,5.0,10.0,8.0,8.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,23.10.2022,1000.0,,10.7,7.4,32.1,24.7,,6.7,14.0,7.2,3.5,,,,1.1,,,,,,,,,,,,,,,,,,,,,,
IBRiS,22.10.2022,1100.0,,10.0,6.3,33.0,26.7,,6.2,9.6,9.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
IBSP,20.10.2022,800.0,,0.0,7.48,34.47,26.99,,3.71,18.75,7.03,7.1,,,,1.95,,,,,,,,,,,,,,,,,,,,,,
Pollster,19.10.2022,1000.0,,0.5,4.87,35.56,30.69,,3.26,13.3,9.01,5.95,,,0.99,,0.74,,,,,,,,,,,,,,,,,,,,,
Social Changes,19.10.2022,1082.0,,2.0,8.0,36.0,28.0,,5.0,10.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar Public,19.10.2022,1000.0,,13.0,3.0,28.0,31.0,,4.0,10.0,7.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Research Partner,17.10.2022,1081.0,,9.4,4.6,30.6,26.0,,6.8,10.8,6.5,7.5,,,1.8,,0.6,,,,,,,,,,,,,,,,,,,,,
Estymator,14.10.2022,1033.0,,0.3,9.4,37.1,27.7,,6.8,10.1,10.7,5.7,,,1.6,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,13.10.2022,1100.0,,9.0,5.3,32.7,27.4,,5.6,11.3,8.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOS,13.10.2022,1041.0,,24.0,12.0,30.0,18.0,,2.0,9.0,6.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,10.10.2022,1077.0,,3.0,6.0,36.0,30.0,,3.0,10.0,9.0,7.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,09.10.2022,1000.0,,7.0,7.6,33.8,26.2,,5.6,13.6,8.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,05.10.2022,1100.0,,6.5,4.8,33.9,29.1,,5.9,10.7,8.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,03.10.2022,1081.0,,2.0,7.0,37.0,30.0,,4.0,9.0,7.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,26.09.2022,1088.0,,1.0,8.0,36.0,28.0,,4.0,11.0,9.0,9.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,25.09.2022,1000.0,,7.4,7.7,34.1,26.4,,5.0,11.9,9.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,24.09.2022,1100.0,,8.5,5.8,32.9,27.1,,6.3,10.6,9.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,23.09.2022,1045.0,,0.2,9.1,35.9,26.8,,6.5,12.2,11.0,6.1,,,1.3,,,,,,,,,,,,,,,,,,,,,,,
Pollster,22.09.2022,1014.0,,0.39,5.5,34.8,29.3,,6.05,12.63,9.22,6.31,,,0.88,,0.35,,,,,,,,,,,,,,,,,,,,,
Social Changes,19.09.2022,1074.0,,1.0,7.0,37.0,30.0,,5.0,10.0,6.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
CBOS,15.09.2022,1119.0,,21.0,9.0,30.0,21.0,,2.0,10.0,6.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,13.09.2022,1100.0,,7.9,5.5,31.6,26.1,,6.2,13.4,9.2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,12.09.2022,1086.0,,9.9,11.1,36.7,25.6,,3.8,7.9,8.2,5.7,,,1.6,,0.7,,,,,,,,,,,,,,,,,,,,,
Social Changes,12.09.2022,1092.0,,2.0,10.0,36.0,26.0,,7.0,10.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,11.09.2022,1000.0,,10.0,6.7,32.9,26.2,,5.2,12.9,8.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,09.09.2022,1031.0,,0.3,10.9,37.0,26.1,,6.7,11.8,9.9,6.7,,,1.6,,,,,,,,,,,,,,,,,,,,,,,
IPSOS,08.09.2022,1009.0,,6.0,7.0,33.0,26.0,,5.0,12.0,8.0,7.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,07.09.2022,980.0,,15.0,2.0,29.0,27.0,,3.0,8.0,7.0,6.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,05.09.2022,1084.0,,1.0,7.0,36.0,29.0,,5.0,11.0,8.0,8.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
IBRiS,03.09.2022,1100.0,,8.5,6.3,33.2,26.9,,5.4,14.5,7.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
United Surveys,01.09.2022,1000.0,,10.6,7.0,32.0,25.0,,5.3,13.3,8.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,29.08.2022,1058.0,,2.0,13.0,39.0,26.0,,4.0,10.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,29.08.2022,1086.0,,10.7,9.6,35.2,25.6,,4.6,8.2,8.0,5.3,,,1.6,,0.8,,,,,,,,,,,,,,,,,,,,,
United Surveys,28.08.2022,1000.0,,9.1,5.7,31.6,25.9,,4.8,14.0,9.5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,27.08.2022,1100.0,,12.9,5.1,30.9,25.8,,5.2,12.1,10.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,26.08.2022,1022.0,,0.2,7.9,36.0,28.1,,6.9,10.1,10.6,6.3,,,1.8,,,,,,,,,,,,,,,,,,,,,,,
CBOS,25.08.2022,1043.0,,0.0,10.0,31.0,21.0,,2.0,10.0,4.0,7.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,24.08.2022,1029.0,,0.45,4.76,34.45,29.69,,6.2,12.25,9.36,5.62,,,1.22,,0.78,,,,,,,,,,,,,,,,,,,,,
Social Changes,22.08.2022,1071.0,,2.0,9.0,36.0,27.0,,4.0,10.0,9.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Kantar,18.08.2022,1003.0,,11.0,2.0,29.0,27.0,,2.0,13.0,7.0,8.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
IBSP,17.08.2022,1000.0,,0.0,4.61,33.7,29.09,,3.22,16.63,7.63,6.06,,,,3.67,,,,,,,,,,,,,,,,,,,,,,
Social Changes,15.08.2022,1068.0,,2.0,11.0,39.0,28.0,,4.0,8.0,9.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,15.08.2022,1060.0,,11.4,8.9,34.7,25.8,,4.2,8.5,7.4,5.7,,,2.0,,0.3,,,,,,,,,,,,,,,,,,,,,
Estymator,12.08.2022,1037.0,,0.2,10.0,36.8,26.8,,7.2,9.7,11.0,6.6,,,1.7,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,10.08.2022,927.0,,15.0,4.0,30.0,26.0,,4.0,9.0,9.0,4.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,08.08.2022,1066.0,,1.0,6.0,37.0,31.0,,5.0,7.0,8.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Social Changes,01.08.2022,1066.0,,2.0,11.0,38.0,27.0,,3.0,10.0,8.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Research Partner,01.08.2022,1030.0,,7.1,12.4,38.2,25.8,,5.7,7.7,7.4,6.1,,,2.0,,0.1,,,,,,,,,,,,,,,,,,,,,
United Surveys,31.07.2022,1000.0,,8.6,6.1,33.2,27.1,,6.6,11.4,8.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Estymator,29.07.2022,1022.0,,0.4,10.2,36.6,26.4,,7.1,9.5,11.6,6.9,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
IBRiS,26.07.2022,1100.0,,6.8,8.4,34.9,26.5,,5.1,11.6,9.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,25.07.2022,1067.0,,1.0,7.0,37.0,30.0,,4.0,10.0,7.0,8.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
United Surveys,23.07.2022,1000.0,,10.4,8.3,34.2,25.9,,6.3,9.4,9.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kantar Public,20.07.2022,981.0,,15.0,1.0,26.0,27.0,,5.0,8.0,8.0,6.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Pollster,19.07.2022,1070.0,,0.3,6.47,33.8,27.33,,5.13,11.01,12.69,8.66,,,0.68,,0.4,,,,,,,,,,,,,,,,,,,,,
Social Changes,18.07.2022,1082.0,,2.0,12.0,39.0,27.0,,3.0,10.0,8.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Estymator,16.07.2022,1039.0,,0.2,10.5,37.1,26.6,,6.6,9.7,11.2,7.0,,,1.6,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,11.07.2022,1073.0,,1.0,13.0,39.0,26.0,,4.0,11.0,9.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Research Partner,11.07.2022,1053.0,,11.2,7.3,33.9,26.6,,4.8,7.7,8.1,4.9,,,2.1,,0.6,,,,,,,,,,,,,,,,,,,,,
CBOS,07.07.2022,1084.0,,22.0,15.0,33.0,18.0,,3.0,8.0,5.0,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
ewybory.eu,06.07.2022,10091.0,,0.94,6.07,34.17,28.1,,3.77,7.41,14.78,7.02,,,,3.82,,,,,,,,,,,,,,,,,,,,,,
IBRiS,05.07.2022,1100.0,,11.7,8.5,33.7,25.2,,5.1,9.8,8.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Changes,04.07.2022,1070.0,,2.0,11.0,37.0,26.0,,5.0,10.0,8.0,9.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
